Date,Sector,Post,Tank Capacity,Reported Stock,Available Storage Space,Avg Daily Consumption,Days of Supply
"May 1, 2025",Camp Faouar,CF Gen,"40,000","40,000",0,"2,206",18
"May 1, 2025",Camp Faouar,CF Fuel Station,"100,000","87,362",786,"1,024",85
"May 1, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,"1,000",587,413,11,53
"May 1, 2025",Camp Faouar,CF JOC GEN (Backup) ,"1,000",446,554,11,41
"May 1, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,"1,000",533,467,11,48
"May 1, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,"1,000",565,435,11,51
"May 1, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,"2,000","1,819",181,11,165
"May 1, 2025",Camp Faouar,Reserve VDP,"20,000","19,389",611,0,0
"May 1, 2025",ROD,ROD Fuel Station,"49,000","43,500","5,500",35,"1,243"
"May 1, 2025",ROD,ROD Generator,"10,000","7,700","2,300",44,175
"May 1, 2025",Northern Sector,HB GEN,"51,000","40,867","10,133",234,175
"May 1, 2025",Northern Sector,HB Fuel Station,"22,500","21,599",901,8,"2,700"
"May 1, 2025",Northern Sector,HH,"42,000","40,309","1,691",115,351
"May 1, 2025",Northern Sector,HS,"37,000","35,798","1,202",162,221
"May 1, 2025",Northern Sector,POS12 Fuel Station,"18,000","17,418",582,51,342
"May 1, 2025",Northern Sector,POS12A GEN,"40,000","37,748","2,252",344,110
"May 1, 2025",Central Section,POS10A,"20,000","3,590","16,410",87,41
"May 1, 2025",Central Section,POS17A,"4,000","3,730",270,186,20
"May 1, 2025",Central Section,POS 27 Fuel Station,"20,000","19,370",630,21,922
"May 1, 2025",Central Section,POS27 Gen,"10,000","8,992","1,008",37,243
"May 1, 2025",Central Section,POS32,"11,000","10,483",517,12,874
"May 1, 2025",Central Section,POS37,"20,000","18,056","1,944",57,317
"May 1, 2025",Central Section,POS60,"20,000","16,518","3,482",116,142
"May 1, 2025",Western Section,CZ,"60,000","27,181","32,819",500,54
"May 1, 2025",Western Section,POS22,"10,000","6,958","3,042",37,188
"May 1, 2025",Western Section,C Gate GEN,"2,000","1,550",450,63,25
